"Region","Class","Province","HR","Index_of_remoteness","Area_sq_km","Population","Dwellings","Households","Cpls_w_0_ch","Cpls_w_children","Cpls_w_1_ch","Cpls_w_2_ch","Cpls_w_3_or_more_ch","Sgls_w_ch","Sgls_w_1_ch","Sgls_w_2_ch","Sgls_w_3_or_more_ch","Not_in_families","Commute_wi_CSD","Commute_wi_CD_not_CSD","Commute_wi_prov_not_CD","Commute_extra_prov","Population_Density","MIZ_score"
"Saint-Quentin","Weak","New Brunswick","Zone 4 (Edmundston area)","0.4198",2481.07314,1532,696,629,230,185,90,75,20,70,40,25,5,190,255,305,15,0,0.6,1
"Saint-Quentin","Moderate","New Brunswick","Zone 4 (Edmundston area)","0.4152",4.242,2194,989,965,295,210,90,100,20,115,80,25,10,420,430,350,25,15,517.2,2
"Belledune","Moderate","New Brunswick","Zone 5 (Campbellton area)","0.4051",190.61782,1417,883,701,250,115,70,45,5,75,50,10,10,315,175,65,55,10,7.5,2
"Allardville","Strong","New Brunswick","Zone 6 (Bathurst area)","0.3609",655.98712,2032,932,861,315,230,110,90,25,100,65,30,10,295,120,290,45,20,3.1,3
"Bathurst","CA","New Brunswick","Zone 6 (Bathurst area)","0.3563",1513.32058,4797,2292,2056,905,575,315,205,50,150,105,35,10,575,150,1270,160,55,3.2,4
"Pabineau 11","CA","New Brunswick","Zone 6 (Bathurst area)","0.3708",5.05917,134,62,56,10,10,5,5,5,10,5,0,5,25,20,10,0,0,27.2,4
"Bathurst","CA","New Brunswick","Zone 6 (Bathurst area)","0.3621",94.29809,11897,6317,5615,1805,1045,525,405,115,530,370,130,35,2680,3015,405,305,70,129.3,4
"Beresford","CA","New Brunswick","Zone 6 (Bathurst area)","0.3567",458.12168,6248,2780,2639,1105,715,365,285,65,205,140,60,10,840,240,1825,250,35,13.7,4
"Pointe-Verte","CA","New Brunswick","Zone 6 (Bathurst area)","0.392",13.79332,886,451,408,175,85,60,20,5,35,20,15,0,140,50,220,80,10,64.4,4
"Petit-Rocher","CA","New Brunswick","Zone 6 (Bathurst area)","0.3807",4.52665,1897,896,851,350,160,80,65,15,80,60,20,5,340,165,370,105,30,419.7,4
"Beresford","CA","New Brunswick","Zone 6 (Bathurst area)","0.357",21.31221,4288,2150,1938,720,460,235,175,45,180,120,45,10,710,355,1185,100,20,220.9,4
"New Bandon","Strong","New Brunswick","Zone 6 (Bathurst area)","0.429",360.3366,1214,794,581,215,110,60,40,15,55,40,10,5,245,65,315,10,25,3.4,3
"Saint-Léolin","Moderate","New Brunswick","Zone 6 (Bathurst area)","0.4313",19.73212,647,326,300,85,75,45,25,0,35,25,10,5,140,0,130,15,10,32.8,2
"Paquetville","Moderate","New Brunswick","Zone 6 (Bathurst area)","0.4304",220.60528,2329,1159,1033,305,205,130,55,20,195,140,35,15,510,35,465,20,10,10.6,2
"Paquetville","Moderate","New Brunswick","Zone 6 (Bathurst area)","0.4281",9.26248,720,346,314,75,80,45,30,10,40,25,15,5,135,50,160,0,0,77.8,2
"Saint-Isidore","Moderate","New Brunswick","Zone 6 (Bathurst area)","0.3816",173.37162,1361,658,603,165,150,75,55,15,90,60,25,0,275,25,365,0,10,7.9,2
"Saint-Isidore","Moderate","New Brunswick","Zone 6 (Bathurst area)","0.4264",22.94437,764,382,340,130,80,45,35,5,35,25,10,0,125,85,210,15,10,33.3,2
"Inkerman","Moderate","New Brunswick","Zone 6 (Bathurst area)","0.4273",120.66026,2366,1084,980,335,215,125,70,20,165,100,45,15,415,145,600,25,25,22,2
"Caraquet","Weak","New Brunswick","Zone 6 (Bathurst area)","0.4332",110.74829,1337,668,598,180,135,75,55,5,95,60,30,5,255,100,310,10,20,12.2,1
"Bas-Caraquet","Weak","New Brunswick","Zone 6 (Bathurst area)","0.4324",31.0439,1305,675,602,195,125,80,40,10,95,65,25,0,270,150,340,10,10,42.1,1
"Caraquet","Weak","New Brunswick","Zone 6 (Bathurst area)","0.4176",68.56781,4248,2075,1928,590,435,230,165,40,235,175,45,15,825,980,490,25,65,62.1,1
"Shippagan","Weak","New Brunswick","Zone 6 (Bathurst area)","0.4407",213.35325,4800,2689,2159,660,480,310,150,25,375,270,80,25,920,330,1070,45,55,23.1,1
"Le Goulet","Moderate","New Brunswick","Zone 6 (Bathurst area)","0.4427",5.65519,793,321,316,80,85,55,25,5,80,65,15,5,140,65,230,10,15,144.5,2
"Shippagan","Weak","New Brunswick","Zone 6 (Bathurst area)","0.4365",10.04064,2580,1225,1110,290,230,120,90,15,195,125,50,15,510,390,365,15,20,257.6,1
"Lamèque","Weak","New Brunswick","Zone 6 (Bathurst area)","0.4563",12.54077,1285,619,556,185,110,65,45,5,75,50,20,5,240,215,215,10,0,102.8,1
"Sainte-Marie-Saint-Raphaël","Weak","New Brunswick","Zone 6 (Bathurst area)","0.4694",15.89629,879,440,402,110,90,60,25,0,75,50,20,5,190,65,220,0,20,55.3,1
"Bertrand","Moderate","New Brunswick","Zone 6 (Bathurst area)","0.4298",58.17433,1166,678,561,205,100,55,45,5,60,40,15,0,245,35,350,10,0,20.3,2
"Nigadoo","CA","New Brunswick","Zone 6 (Bathurst area)","0.3547",7.739,963,437,407,155,125,70,50,10,30,15,10,0,135,40,250,25,10,125.9,4
"Grande-Anse","Moderate","New Brunswick","Zone 6 (Bathurst area)","0.4179",24.33017,899,517,442,170,80,35,35,5,45,35,10,5,185,50,125,20,0,37,2
"Maisonnette","Moderate","New Brunswick","Zone 6 (Bathurst area)","0.4414",12.93403,495,400,270,75,30,15,15,0,35,25,10,0,170,30,120,10,0,38.4,2
"Les Îles-de-la-Madeleine","Weak","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.5532",197.78337,12010,6223,5321,1865,1400,780,505,110,475,355,110,10,1935,4255,185,135,10,69.5,1
"Percé","Weak","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.5265",432.06939,3103,1880,1523,445,275,155,100,25,190,140,40,10,755,305,285,190,0,7.2,1
"Sainte-Thérèse-de-Gaspé","Weak","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.4986",34.46372,1015,509,462,135,105,70,25,10,75,65,15,0,200,205,155,35,0,29.5,1
"Chandler","Weak","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.4905",428.45118,7546,3739,3445,995,735,420,235,75,535,395,120,20,1560,1710,550,200,15,18,1
"Port-Daniel--Gascons","Weak","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.5122",303.82672,2210,1140,982,300,200,100,75,25,160,100,55,5,450,220,235,110,20,7.3,1
"Gaspé","Weak","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.5136",1155.76683,14568,7074,6412,2080,1620,810,610,200,620,450,135,35,2670,5060,70,245,15,13,1
"Cloridorme","Weak","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.5662",161.48069,671,397,336,135,60,45,20,0,25,20,0,5,125,105,60,25,0,4.2,1
"Grande-Vallée","Weak","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.578",144.61657,1057,569,493,185,105,55,40,10,35,30,5,0,205,225,50,20,0,7.3,1
"Murdochville","Weak","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.5754",62.43511,651,512,313,100,55,10,20,20,30,25,5,0,145,160,10,40,0,10.6,1
"Saint-Maxime-du-Mont-Louis","Weak","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.5345",235.23438,1134,620,496,160,120,65,40,20,55,30,20,0,210,200,65,45,0,4.9,1
"Marsoui","Weak","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.4792",183.10511,275,182,135,35,30,20,5,0,15,10,5,0,70,55,35,10,0,1.5,1
"La Martre","Moderate","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.4338",176.26822,243,147,99,45,25,15,5,0,5,5,0,0,45,10,35,10,0,1.4,2
"Sainte-Anne-des-Monts","Weak","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.4315",265.15275,6437,3307,3020,935,580,295,215,70,330,240,75,20,1485,1485,140,115,0,24.4,1
"Cap-Chat","Moderate","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.4251",183.13155,2476,1333,1124,420,190,95,60,40,110,85,20,10,525,270,310,75,0,13.6,2
"Mont-Albert","Strong","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.4321",3488.32637,179,150,88,30,20,5,10,0,10,10,5,0,40,0,45,10,0,0.1,3
"Saint-Godefroi","Moderate","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.5098",63.57169,380,214,180,65,30,15,15,0,25,20,5,0,80,10,55,25,0,6,2
"Hope Town","Moderate","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.508",51.61501,339,170,139,50,40,25,15,5,5,0,5,0,60,10,90,25,0,6.7,2
"Hope","Moderate","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.5103",70.88867,568,308,264,100,50,25,20,5,30,20,10,0,105,10,100,30,0,8.1,2
"Paspébiac","Moderate","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.5065",95.97704,3164,1515,1428,490,340,200,120,10,180,135,40,5,595,560,240,205,25,33.5,2
"Bonaventure","Weak","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.4899",107.16991,2706,1312,1208,415,275,105,115,55,95,55,25,5,515,455,270,125,10,25.9,1
"Saint-Elzéar","Weak","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.4975",206.03861,458,266,211,75,50,35,10,5,15,10,5,5,80,60,80,20,0,2.2,1
"Caplan","Weak","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.4515",85.31259,2024,988,902,335,200,95,80,25,80,50,25,0,330,220,305,165,0,23.7,1
"New Richmond","Weak","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.4524",175.17133,3706,1774,1663,560,380,170,165,45,185,125,55,15,620,695,230,375,20,21.6,1
"Cascapédia--Saint-Jules","Moderate","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.452",166.72184,730,355,324,105,80,35,40,10,35,30,5,5,125,15,95,80,0,4.5,2
"Maria","Weak","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.4372",95.48218,2615,1159,1075,400,235,95,95,45,110,60,35,15,400,440,205,255,10,27.5,1
"Carleton-sur-Mer","Moderate","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.4386",221.54805,4073,2136,1918,690,380,165,150,75,160,105,50,10,790,685,375,220,25,18.4,2
"Nouvelle","Moderate","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.432",247.55358,1659,849,745,245,185,95,65,20,65,45,15,5,300,240,220,60,40,7.1,2
"Escuminac","Strong","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.4107",150.73531,544,297,241,80,60,25,25,10,20,15,5,0,120,35,60,0,40,5,3
"Pointe-à-la-Croix","CA","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.3863",409.53141,1391,708,653,180,140,75,45,15,80,60,25,5,300,125,70,10,195,3.6,4
"Ristigouche-Partie-Sud-Est","Strong","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.3873",53.36469,171,91,82,35,15,5,0,0,10,5,0,5,30,0,25,0,10,3.3,3
"Matapédia","Strong","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.4017",73.8234,645,365,314,90,60,30,25,5,40,25,10,0,150,95,10,10,45,9,3
"Saint-Alexis-de-Matapédia","Moderate","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.4154",84.71354,500,283,232,95,45,20,15,5,15,10,5,0,85,30,80,20,25,5.9,2
"Saint-François-d'Assise","Moderate","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.4338",179.64854,644,360,304,120,65,30,20,10,20,15,5,0,120,45,60,10,0,3.6,2
"Gesgapegiag","Weak","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.4432",2.08407,653,264,257,30,60,30,15,15,70,40,20,15,125,110,0,25,0,313.3,1
"Listuguj","CA","Quebec","Region de la Gaspesie-Iles-de-la-Madeleine","0.3871",46.82406,1241,620,579,65,70,25,30,15,170,90,40,35,350,190,10,0,35,28,4
"Sainte-Florence","Moderate","Quebec","Region du Bas-Saint-Laurent","0.4067",103.96227,384,209,191,70,30,10,5,10,20,15,0,0,75,15,80,10,10,3.7,2
"Causapscal","Moderate","Quebec","Region du Bas-Saint-Laurent","0.4016",162.77637,2304,1162,1062,350,210,110,70,35,110,65,35,10,450,305,330,50,10,14.3,2
"Albertville","Moderate","Quebec","Region du Bas-Saint-Laurent","0.4138",104.27363,226,126,113,40,20,15,5,5,5,5,5,0,50,10,35,15,10,2.2,2
"Saint-Léon-le-Grand","Weak","Quebec","Region du Bas-Saint-Laurent","0.4054",129.19494,953,440,420,165,95,40,30,20,30,15,10,5,155,55,195,45,0,7.4,1
"Sainte-Irène","Moderate","Quebec","Region du Bas-Saint-Laurent","0.4129",137.00425,327,259,160,65,30,10,10,5,15,5,5,0,65,10,80,10,0,2.4,2
"Amqui","Moderate","Quebec","Region du Bas-Saint-Laurent","0.3923",126.66703,6178,2992,2862,885,625,235,275,115,230,145,60,30,1255,1725,400,135,0,51,2
"Lac-au-Saumon","Moderate","Quebec","Region du Bas-Saint-Laurent","0.4014",85.63264,1450,598,561,175,150,65,55,30,50,25,15,10,215,105,350,25,0,17.9,2
"Saint-Alexandre-des-Lacs","Weak","Quebec","Region du Bas-Saint-Laurent","0.4079",91.52627,327,172,155,65,35,20,10,0,15,5,10,0,45,0,85,10,0,3.6,1
"Saint-Tharcisius","Weak","Quebec","Region du Bas-Saint-Laurent","0.3982",79.16341,315,144,132,40,35,20,5,15,15,5,5,0,55,10,85,15,0,4,1
"Saint-Vianney","Strong","Quebec","Region du Bas-Saint-Laurent","0.4047",146.41858,441,239,204,80,40,10,15,15,15,10,0,0,75,20,65,25,0,3,3
"Val-Brillant","Moderate","Quebec","Region du Bas-Saint-Laurent","0.3913",91.9859,927,497,416,130,95,35,45,20,30,20,10,5,170,55,190,40,0,11.9,2
"Sayabec","Moderate","Quebec","Region du Bas-Saint-Laurent","0.3871",139.20543,1594,763,715,210,170,70,75,25,75,55,10,10,310,255,125,80,0,12.2,2
"Saint-Moïse","Moderate","Quebec","Region du Bas-Saint-Laurent","0.3801",111.46498,580,292,266,80,55,20,15,20,20,10,5,0,130,35,70,65,0,5.3,2
"Saint-Noël","Moderate","Quebec","Region du Bas-Saint-Laurent","0.3868",46.58997,398,212,187,45,40,10,20,10,15,5,5,0,100,45,25,60,0,8.7,2
"Saint-Damase","Moderate","Quebec","Region du Bas-Saint-Laurent","0.3889",119.91653,426,210,178,70,50,20,20,15,10,5,0,5,60,65,45,50,0,3.7,2
"Les Méchins","Moderate","Quebec","Region du Bas-Saint-Laurent","0.418",443.78226,987,753,508,180,80,50,25,5,45,35,5,0,235,125,70,45,0,2.2,2
"Grosses-Roches","Strong","Quebec","Region du Bas-Saint-Laurent","0.4059",64.19632,306,230,164,55,20,15,5,0,20,10,5,0,85,10,40,0,0,4.8,3
"Sainte-Félicité","CA","Quebec","Region du Bas-Saint-Laurent","0.3879",91.47843,1065,635,499,185,95,55,25,20,30,20,10,5,215,40,240,35,0,11.7,4
"Saint-Adelme","Strong","Quebec","Region du Bas-Saint-Laurent","0.4102",101.31686,692,383,301,120,75,40,20,15,25,10,0,10,100,10,200,30,0,6.9,3
"Saint-René-de-Matane","CA","Quebec","Region du Bas-Saint-Laurent","0.3843",256.75991,965,649,455,180,95,40,45,10,40,25,10,0,165,10,220,30,0,3.8,4
"Sainte-Paule","Strong","Quebec","Region du Bas-Saint-Laurent","0.4076",87.03582,233,209,115,55,20,10,5,5,5,5,0,0,40,0,45,10,0,2.8,3
"Matane","CA","Quebec","Region du Bas-Saint-Laurent","0.3809",198.3169,14311,7421,6866,2150,1280,595,525,165,615,415,160,35,3170,4910,85,360,20,73,4
"Saint-Léandre","Strong","Quebec","Region du Bas-Saint-Laurent","0.3985",106.26053,400,209,189,55,40,15,20,5,20,10,5,0,90,15,145,10,0,3.8,3
"Saint-Ulric","CA","Quebec","Region du Bas-Saint-Laurent","0.372",122.14354,1585,878,755,290,150,65,65,25,65,40,15,5,275,70,495,70,10,13.1,4
"Baie-des-Sables","Strong","Quebec","Region du Bas-Saint-Laurent","0.3694",65.22671,628,328,266,100,55,15,15,20,25,20,0,5,100,25,60,50,0,9.6,3
"La Rédemption","Moderate","Quebec","Region du Bas-Saint-Laurent","0.398",118.38389,432,251,192,65,35,10,15,10,30,20,5,5,80,20,60,50,0,3.7,2
"Saint-Charles-Garnier","Moderate","Quebec","Region du Bas-Saint-Laurent","0.4069",85.10739,240,146,113,40,25,10,5,5,15,10,0,0,40,20,10,15,0,2.8,2
"Les Hauteurs","Strong","Quebec","Region du Bas-Saint-Laurent","0.3942",104.54409,504,263,211,60,55,15,20,15,25,20,5,5,80,15,25,25,0,4.9,3
"Sainte-Jeanne-d'Arc","Moderate","Quebec","Region du Bas-Saint-Laurent","0.3716",113.54918,280,169,131,40,25,10,5,10,20,15,0,0,55,0,35,20,0,2.5,2
"Saint-Gabriel-de-Rimouski","Strong","Quebec","Region du Bas-Saint-Laurent","0.37",128.63235,1167,587,497,140,130,40,50,40,50,30,10,5,210,70,100,180,0,9.2,3
"Saint-Donat","Strong","Quebec","Region du Bas-Saint-Laurent","0.3584",96.32546,876,499,395,135,105,40,40,20,20,15,5,0,160,60,155,185,0,9.2,3
"Sainte-Angèle-de-Mérici","Moderate","Quebec","Region du Bas-Saint-Laurent","0.3623",109.30516,953,507,426,130,95,40,35,20,50,30,10,5,200,45,125,135,10,8.8,2
"Padoue","Moderate","Quebec","Region du Bas-Saint-Laurent","0.3842",67.15268,245,120,109,40,25,10,10,5,10,5,0,0,30,0,50,25,0,3.7,2
"Métis-sur-Mer","Moderate","Quebec","Region du Bas-Saint-Laurent","0.367",48.58432,587,471,281,90,55,20,25,10,25,15,5,5,130,35,70,75,0,12.1,2
"Saint-Octave-de-Métis","Moderate","Quebec","Region du Bas-Saint-Laurent","0.3782",76.0051,511,222,205,65,70,35,25,10,10,10,5,0,55,20,120,65,0,6.8,2
"Grand-Métis","Moderate","Quebec","Region du Bas-Saint-Laurent","0.3585",25.7254,167,191,92,35,10,5,5,5,5,5,0,0,45,10,0,10,0,6.5,2
"Price","Moderate","Quebec","Region du Bas-Saint-Laurent","0.3615",2.74153,1759,788,774,205,185,75,60,50,85,50,25,5,365,140,390,115,0,681,2
"Saint-Joseph-de-Lepage","Moderate","Quebec","Region du Bas-Saint-Laurent","0.3627",31.542,523,258,218,100,55,20,25,10,5,5,5,0,60,10,105,40,0,16.9,2
"Mont-Joli","Moderate","Quebec","Region du Bas-Saint-Laurent","0.3466",24.68856,6281,3102,2917,810,550,225,220,105,290,190,70,30,1380,1310,200,540,0,259.5,2
"Sainte-Flavie","Strong","Quebec","Region du Bas-Saint-Laurent","0.346",38.69567,884,497,407,150,85,35,30,25,20,20,5,5,160,70,140,115,0,22.9,3
"Sainte-Luce","Strong","Quebec","Region du Bas-Saint-Laurent","0.338",73.06671,2801,1437,1237,425,300,115,130,50,100,60,30,10,465,235,185,590,0,38.3,3
"Esprit-Saint","Moderate","Quebec","Region du Bas-Saint-Laurent","0.3853",169.89099,341,209,171,60,35,15,15,10,5,10,0,0,75,20,50,25,0,2,2
"La Trinité-des-Monts","Strong","Quebec","Region du Bas-Saint-Laurent","0.3824",234.51365,223,173,119,50,15,5,0,0,10,0,5,0,50,15,55,20,0,1,3
"Saint-Narcisse-de-Rimouski","CA","Quebec","Region du Bas-Saint-Laurent","0.3644",171.07109,961,642,446,170,105,45,35,25,25,20,5,0,160,55,275,35,0,5.9,4
"Saint-Marcellin","Strong","Quebec","Region du Bas-Saint-Laurent","0.3688",121.5637,353,324,188,65,30,15,10,5,5,5,0,0,95,0,60,35,0,3,3
"Saint-Anaclet-de-Lessard","CA","Quebec","Region du Bas-Saint-Laurent","0.3261",129.28969,3071,1324,1256,450,400,160,170,70,115,75,35,5,365,105,1010,180,10,24.2,4
"Rimouski","CA","Quebec","Region du Bas-Saint-Laurent","0.3276",344.85085,48664,24262,22601,6885,4715,2020,1955,740,1845,1160,555,135,10650,16980,455,1825,45,143.3,4
"Saint-Valérien","CA","Quebec","Region du Bas-Saint-Laurent","0.3709",147.88729,816,422,334,130,95,30,45,25,30,15,10,0,95,20,270,20,0,5.6,4
"Saint-Fabien","CA","Quebec","Region du Bas-Saint-Laurent","0.3601",125.88742,1837,1129,821,255,200,80,80,35,80,50,25,5,320,195,335,90,0,15.2,4
"Saint-Eugène-de-Ladrière","Strong","Quebec","Region du Bas-Saint-Laurent","0.3866",359.86367,364,179,165,50,40,20,10,5,15,10,0,0,70,15,55,10,0,1.1,3
"Saint-Clément","Moderate","Quebec","Region du Bas-Saint-Laurent","0.3904",87.06955,460,231,193,55,55,20,20,15,20,5,5,0,70,40,20,110,0,5.3,2
"Saint-Jean-de-Dieu","Moderate","Quebec","Region du Bas-Saint-Laurent","0.3859",152.54492,1596,755,698,260,155,60,65,35,55,40,15,0,240,195,125,160,0,10.5,2
"Sainte-Rita","Moderate","Quebec","Region du Bas-Saint-Laurent","0.3925",133.44739,307,224,143,50,35,5,15,5,10,10,0,0,60,10,25,35,0,2.4,2
"Saint-Médard","Moderate","Quebec","Region du Bas-Saint-Laurent","0.3912",76.12509,209,115,99,45,20,5,5,5,5,5,0,0,35,0,15,0,0,2.8,2
"Sainte-Françoise","Moderate","Quebec","Region du Bas-Saint-Laurent","0.3773",89.11225,386,213,187,75,30,15,15,10,15,10,0,5,65,10,55,15,0,4.3,2
"Saint-Éloi","Moderate","Quebec","Region du Bas-Saint-Laurent","0.3753",66.60535,286,144,128,50,30,10,10,5,10,5,0,0,45,40,45,25,0,4.3,2
"Trois-Pistoles","Moderate","Quebec","Region du Bas-Saint-Laurent","0.3675",7.62307,3246,1770,1562,485,230,100,90,40,135,80,40,15,790,570,145,250,0,425.1,2
"Notre-Dame-des-Neiges","Moderate","Quebec","Region du Bas-Saint-Laurent","0.3655",94.6721,1085,778,509,215,105,40,45,15,25,20,5,0,185,40,195,95,0,11.5,2
"Saint-Mathieu-de-Rioux","Moderate","Quebec","Region du Bas-Saint-Laurent","0.3772",114.52759,639,559,309,150,50,25,20,10,15,15,5,0,100,40,75,85,10,5.9,2
"Saint-Simon","Strong","Quebec","Region du Bas-Saint-Laurent","0.3621",75.34187,426,330,202,90,30,15,10,10,10,5,5,5,80,25,45,40,0,5.7,3
"Saint-Cyprien","Moderate","Quebec","Region du Bas-Saint-Laurent","0.3908",140.92465,1066,479,425,135,115,40,45,25,25,15,5,5,170,155,70,120,0,7.7,2
"Saint-Hubert-de-Rivière-du-Loup","Strong","Quebec","Region du Bas-Saint-Laurent","0.3908",201.66913,1279,1010,564,240,130,50,45,40,20,20,5,0,190,110,220,90,0,6.6,3
"Saint-Antonin","CA","Quebec","Region du Bas-Saint-Laurent","0.2747",178.06958,4049,1681,1618,555,550,205,260,80,135,70,55,15,425,245,1450,140,0,23,4
"Saint-Modeste","CA","Quebec","Region du Bas-Saint-Laurent","0.2813",111.36491,1162,470,435,140,180,70,75,35,30,20,10,5,100,70,415,55,0,10.6,4
"Saint-François-Xavier-de-Viger","Strong","Quebec","Region du Bas-Saint-Laurent","0.3878",112.84922,245,140,111,35,25,15,5,5,15,5,0,0,45,0,95,10,0,2.2,3
"Saint-Épiphane","Strong","Quebec","Region du Bas-Saint-Laurent","0.2883",82.92778,827,393,360,110,95,35,40,25,25,20,5,0,140,50,225,40,0,10,3
"Saint-Paul-de-la-Croix","Strong","Quebec","Region du Bas-Saint-Laurent","0.3923",79.10718,309,185,153,55,25,10,10,5,15,10,5,0,70,20,35,10,0,3.9,3
"L'Isle-Verte","Moderate","Quebec","Region du Bas-Saint-Laurent","0.2819",118.33989,1294,675,615,210,130,60,50,15,50,30,15,0,250,150,220,90,0,11,2
"Cacouna","CA","Quebec","Region du Bas-Saint-Laurent","0.2706",63.17072,1803,926,792,280,210,95,85,35,55,35,20,0,285,70,610,50,10,28.7,4
"Saint-Arsène","CA","Quebec","Region du Bas-Saint-Laurent","0.2731",71.14614,1230,468,460,155,175,60,75,40,30,20,10,5,120,90,350,35,0,17.3,4
"Rivière-du-Loup","CA","Quebec","Region du Bas-Saint-Laurent","0.2705",84.98647,19507,9772,9071,2845,1755,735,725,300,755,475,210,65,4230,6750,560,825,25,231.9,4
"Notre-Dame-du-Portage","CA","Quebec","Region du Bas-Saint-Laurent","0.2707",40.38084,1151,693,531,215,115,40,45,25,40,20,15,0,175,30,365,75,10,28.6,4
"Dégelis","Moderate","Quebec","Region du Bas-Saint-Laurent","0.384",567.77993,2863,1530,1343,435,265,110,105,50,115,70,30,10,575,530,220,110,110,5.1,2
"Saint-Jean-de-la-Lande","Moderate","Quebec","Region du Bas-Saint-Laurent","0.419",109.39307,248,167,120,50,30,20,10,0,0,0,5,0,45,0,40,0,20,2.3,2
"Packington","Moderate","Quebec","Region du Bas-Saint-Laurent","0.4002",123.66757,603,421,254,100,80,30,30,15,10,10,0,5,80,35,110,10,15,5.1,2
"Saint-Marc-du-Lac-Long","Moderate","Quebec","Region du Bas-Saint-Laurent","0.4058",156.18407,397,248,177,70,35,10,20,5,15,10,0,0,70,50,30,15,25,2.7,2
"Rivière-Bleue","Moderate","Quebec","Region du Bas-Saint-Laurent","0.4035",181.85109,1230,697,566,185,105,45,40,25,40,35,10,5,255,115,140,105,15,7.1,2
